fortune_company_id,fortune_rank,fortune_revenues,fortune_revchange,fortune_profits,fortune_prftchange,fortune_assets,fortune_mktval,fortune_rankchange1000,fortune_employees,fortune_rankchange,name,fortune_sector,fortune_industry,fortune_hqcity,fortune_hqstate,fortune_rankgain,fortune_rankdrop,fortune_newcomer,fortune_profitable,fortune_ceofounder,fortune_ceowoman,fortune_jobgrowth,fortune1000-y-n,best-company-y-n,permalink
1,225,16523.5,72.4,1415.5,103.3,7609.9,17268.8,74,19070,74,expeditors intl. of washington,transportation,transportation and logistics,seattle,wa,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/expeditors-intl-of-washington/fortune500/
2,92,39211,21.7,7725,21.2,95123,231057.4,3,129000,3,thermo fisher scientific,technology,"scientific, photographic and control equipment",waltham,ma,yes,no,no,yes,no,no,yes,yes,no,https://fortune.com/company/thermo-fisher-scientific/fortune500/
3,124,27774.2,36.7,4175.8,75.9,24015.9,26403.2,24,11788,24,d.r. horton,engineering & construction,homebuilders,arlington,tx,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/d-r-horton/fortune500/
4,764,3433.5,41.5,283.2,45.3,3730.7,8573.8,92,9276,,floor & decor holdings,retailing,specialty retailers: other,atlanta,ga,,,no,yes,no,no,yes,no,no,https://fortune.com/company/floor-decor-holdings/fortune500/
5,737,3629.8,54.1,281.9,358.8,2062.6,1770.9,140,6532,,winnebago industries,motor vehicles & parts,motor vehicles & parts,eden prairie,mn,,,no,yes,no,no,yes,no,no,https://fortune.com/company/winnebago-industries/fortune500/
6,726,3702.9,18.6,1014.6,29.4,3809.4,19202.6,,5900,,teradyne,technology,semiconductors and other electronic components,north reading,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/teradyne/fortune500/
7,694,3984.2,66.4,327.4,363.3,3131.9,4796.1,168,3800,,amn healthcare services,health care,health care: pharmacy and other services,dallas,tx,,,no,yes,no,yes,yes,no,no,https://fortune.com/company/amn-healthcare-services/fortune500/
8,118,29453,32.2,6433,76.4,83184,209993.4,12,79000,12,danaher,health care,medical products and equipment,washington,dc,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/danaher/fortune500/
9,8,257637,41.2,76033,88.8,359268,1842326.1,1,156500,1,alphabet,technology,internet services and retailing,mountain view,ca,yes,no,no,yes,no,no,yes,yes,no,https://fortune.com/company/alphabet/fortune500/
10,615,4930.8,34.1,624.5,79,4323.4,4997.7,37,12000,,tempur sealy international,household products,"home equipment, furnishings",lexington,ky,,,no,yes,no,no,yes,no,no,https://fortune.com/company/tempur-sealy-international/fortune500/
11,823,3050.1,28.8,429.6,32.6,2351.9,2322.4,50,952,,lgi homes,engineering & construction,homebuilders,the woodlands,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/lgi-homes/fortune500/
12,637,4648.4,3.3,834.6,2.9,13264.5,7728.3,-61,11817,,nexstar media group,media,entertainment,irving,tx,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/nexstar-media-group/fortune500/
13,295,12728.8,55.1,104,1248.7,4569.2,1708.2,71,2334,71,andersons,"food, beverages & tobacco",food production,maumee,oh,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/andersons/fortune500/
14,784,3305.8,44.5,323.2,108.7,2813.4,1635.1,114,7300,,stewart information services,financials,insurance: property and casualty (stock),houston,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/stewart-information-services/fortune500/
15,577,5295.6,34.5,650.6,77.4,3230.1,16967.1,47,5650,,pool,wholesalers,wholesalers: diversified,covington,la,,,no,yes,no,no,yes,no,no,https://fortune.com/company/pool/fortune500/
16,238,15643,45.1,2422,69.7,60690,13849.6,50,28290,50,fidelity national financial,financials,insurance: property and casualty (stock),jacksonville,fl,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/fidelity-national-financial-2/fortune500/
17,12,174078,8.5,5365,-36.6,154889,76286.3,1,72963,1,cigna,health care,health care: pharmacy and other services,bloomfield,ct,yes,no,no,yes,no,no,no,yes,no,https://fortune.com/company/cigna/fortune500/
18,778,3342.2,28.8,606.8,24.2,5919.1,54957.1,38,10195,,fortinet,technology,computer software,sunnyvale,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/fortinet/fortune500/
19,872,2811.5,-13.2,476.9,-26.5,10320,6622.1,-168,973,,virtu financial,financials,diversified financials,new york,ny,,,no,yes,no,no,no,no,no,https://fortune.com/company/virtu-financial/fortune500/
20,962,2283.5,19.2,122.7,-54.4,6658.3,1718.3,17,5600,,e.w. scripps,media,entertainment,cincinnati,oh,,,no,yes,no,no,yes,no,no,https://fortune.com/company/ew-scripps/fortune500/
21,600,5067.2,34,943.2,29.6,15000.6,22009.4,39,16700,,perkinelmer,health care,medical products and equipment,waltham,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/perkinelmer/fortune500/
22,133,26989,196.8,2187,328.8,23182,9289,200,6635,200,nrg energy,energy,energy,houston,tx,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/nrg-energy/fortune500/
23,723,3737.2,50.4,550.5,57,4877.8,18960.3,122,9248,,generac holdings,industrials,industrial machinery,waukesha,wi,,,no,yes,no,no,yes,no,no,https://fortune.com/company/generac-holdings/fortune500/
24,387,9039.9,30,1674.4,116,60404.1,7933.9,32,5556,32,jefferies financial group,financials,diversified financials,new york,ny,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/leucadia-national/fortune500/
25,929,2448.5,27.1,154.7,-68.7,4863.6,49824.5,47,6650,,dexcom,health care,medical products and equipment,san diego,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/dexcom/fortune500/
26,692,3998,29.2,585,165.1,9112,19862.7,36,17300,,catalent,health care,pharmaceuticals,somerset,nj,,,no,yes,no,no,yes,no,no,https://fortune.com/company/catalent/fortune500/
27,551,5632.3,49.1,1871.5,67.8,8919.9,19305.1,90,6705,,hologic,health care,medical products and equipment,marlborough,ma,,,no,yes,no,no,yes,no,no,https://fortune.com/company/hologic-2/fortune500/
28,401,8636.1,67.6,535.6,117.1,3245.3,4790.5,117,15000,,ufp industries,materials,"building materials, glass",grand rapids,mi,no,no,yes,yes,no,no,yes,no,no,https://fortune.com/company/universal-forest-products/fortune500/
29,306,12317.4,50.8,659.9,195.9,6654.1,4330.9,62,31000,62,thor industries,motor vehicles & parts,motor vehicles & parts,elkhart,in,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/thor-industries/fortune500/
30,673,4216.3,33.4,498.5,141.8,3496.9,1783.2,44,1600,,century communities,engineering & construction,homebuilders,greenwood village,co,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/century-communities/fortune500/
31,703,3925.3,64.7,927.4,380.3,3693.1,4927.5,163,4259,,matson,transportation,shipping,honolulu,hi,,,no,yes,no,no,yes,no,no,https://fortune.com/company/matson/fortune500/
32,158,22831.7,74,1060,125.4,11146.9,8909.8,73,21150,73,lithia motors,retailing,"automotive retailing, services",medford,or,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/lithia-motors/fortune500/
33,910,2592.7,103,541.4,611.8,1530.5,2250.3,,1440,,encore wire,industrials,"electronics, electrical equip.",mckinney,tx,,,no,yes,no,no,yes,no,no,https://fortune.com/company/encore-wire/fortune500/
34,531,5896,30.5,230,94.1,10798,111378,39,16881,,servicenow,technology,computer software,santa clara,ca,,,no,yes,no,no,yes,no,yes,https://fortune.com/company/servicenow/fortune500/
35,998,2112.8,30.2,295.6,36.6,8748.8,744.1,,1534,,cowen,financials,securities,new york,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/cowen/fortune500/
36,953,2329.1,35,493.5,41.3,3831.8,15787.7,,2402,,etsy,technology,internet services and retailing,brooklyn,ny,,,no,yes,no,no,yes,no,no,https://fortune.com/company/etsy/fortune500/
37,645,4553,63.3,1377,176,2194,5344.1,142,4800,,louisiana-pacific,materials,"building materials, glass",nashville,tn,,,no,yes,no,no,yes,no,no,https://fortune.com/company/louisiana-pacific/fortune500/
38,398,8782.1,199.3,2974.7,754.3,21250.4,17427.5,360,1850,,carlyle group,financials,securities,washington,dc,no,no,yes,yes,no,no,yes,no,no,https://fortune.com/company/carlyle-group/fortune500/
39,231,16071.7,89.1,8075.3,129.9,25434.8,75806,123,10368,123,regeneron pharmaceuticals,health care,pharmaceuticals,tarrytown,ny,yes,no,no,yes,yes,no,yes,no,no,https://fortune.com/company/regeneron-pharmaceuticals/fortune500/
40,432,7926.1,44.8,712.5,307.2,2572.6,2740.4,61,6130,61,boise cascade,wholesalers,wholesalers: diversified,boise,id,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/boise-cascade/fortune500/
41,134,26914,61.4,9752,125.1,44187,684878.6,50,22473,50,nvidia,technology,semiconductors and other electronic components,santa clara,ca,yes,no,no,yes,yes,no,yes,no,yes,https://fortune.com/company/nvidia/fortune500/
42,684,4099.9,54.6,1375.6,104.6,7551.3,35066.3,126,6787,,zoom video communications,technology,computer software,san jose,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/zoom/fortune500/
43,627,4770.6,122.8,408.8,168.7,21605.2,23821.1,,2100,,ares management,financials,securities,los angeles,ca,,,no,yes,yes,no,yes,no,no,https://fortune.com/company/ares-management/fortune500/
44,954,2313.4,66.9,725.7,132,1545.1,4676.2,,5770,,crocs,apparel,apparel,broomfield,co,,,no,yes,no,no,yes,no,no,https://fortune.com/company/crocs/fortune500/
45,176,19893.9,132.4,1725.4,450.3,10714.3,11408.9,174,28000,174,builders firstsource,materials,"building materials, glass",dallas,tx,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/builders-firstsource/fortune500/
46,655,4450.2,-1.9,1003.5,-39.1,18776.6,2948.5,-88,7208,,pennymac financial services,financials,diversified financials,westlake village,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/pennymac-financial-services/fortune500/
47,226,16434,68.3,3162,27,12419,177936.1,83,15500,83,advanced micro devices,technology,semiconductors and other electronic components,santa clara,ca,yes,no,no,yes,no,yes,yes,no,no,https://fortune.com/company/advanced-micro-devices/fortune500/
48,299,12401,22.6,631.2,56.3,8481.1,11960.1,-1,21600,-1,henry schein,health care,wholesalers: health care,melville,ny,no,yes,no,yes,no,no,yes,no,no,https://fortune.com/company/henry-schein/fortune500/
49,505,6317.9,12.8,755.3,1.1,12905.8,26754,-23,14000,,mccormick,"food, beverages & tobacco",food consumer products,hunt valley,md,,,no,yes,no,no,yes,no,no,https://fortune.com/company/mccormick/fortune500/
50,71,51216,6.7,13049,84.6,105694,207400.5,-6,67500,-6,merck,health care,pharmaceuticals,kenilworth,nj,no,yes,no,yes,no,no,no,yes,no,https://fortune.com/company/merck/fortune500/
51,380,9238.8,-21,407.9,-40,13754,22112.9,-117,33600,-117,vf corp.,apparel,apparel,denver,co,no,yes,no,yes,no,no,no,no,no,https://fortune.com/company/vf/fortune500/
52,450,7547.1,26.1,653,83.5,6653,44347.4,14,97660,14,chipotle,"hotels, restaurants & leisure",food services,newport beach,ca,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/chipotle-mexican-grill/fortune500/
53,151,23522.3,25.6,1852.1,42.6,29301.7,30619.7,8,28500,8,paccar,motor vehicles & parts,motor vehicles & parts,bellevue,wa,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/paccar/fortune500/
54,49,72344,-1.7,5743,2.7,132001,116928.3,-7,297800,-7,ibm,technology,information technology services,armonk,ny,no,yes,no,yes,no,no,no,yes,no,https://fortune.com/company/ibm/fortune500/
55,540,5763.9,29.5,553.5,,5900.1,7874.7,40,16600,,levi strauss,apparel,apparel,san francisco,ca,,,no,yes,no,no,yes,no,no,https://fortune.com/company/levi-strauss-2/fortune500/
56,440,7776,16.5,2037,24.4,13900,89008.9,-9,12100,-9,zoetis,health care,pharmaceuticals,parsippany,nj,no,yes,no,yes,no,yes,yes,no,no,https://fortune.com/company/zoetis/fortune500/
57,4,292111,8.7,7910,10.2,232999,132839.2,,258000,,cvs health,health care,health care: pharmacy and other services,woonsocket,ri,no,no,no,yes,no,yes,yes,yes,no,https://fortune.com/company/cvs-health/fortune500/
58,107,33566,42.6,9043,74,41240,172228.1,17,45000,17,qualcomm,technology,semiconductors and other electronic components,san diego,ca,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/qualcomm/fortune500/
59,1,572754,2.4,13673,1.2,244860,409795,,2300000,,walmart,retailing,general merchandisers,bentonville,ar,no,no,no,yes,no,no,no,yes,no,https://fortune.com/company/walmart/fortune500/
60,143,25371,18.3,4169,-0.8,75803,134732.8,-9,30900,-9,paypal,business services,financial data services,san jose,ca,no,yes,no,yes,no,no,yes,no,no,https://fortune.com/company/paypal-holdings/fortune500/
61,116,29579,13,4543,87.6,58620,24628.8,-7,25115,-7,paramount global,media,entertainment,new york,ny,no,yes,no,yes,no,no,yes,yes,no,https://fortune.com/company/cbs/fortune500/
62,120,29060.6,23.6,4199.3,352.4,31392.6,104642.8,5,383000,5,starbucks,"hotels, restaurants & leisure",food services,seattle,wa,yes,no,no,yes,yes,no,yes,no,no,https://fortune.com/company/starbucks/fortune500/
63,117,29487,28.8,164,,12521,8392.3,11,28000,11,us foods holding,wholesalers,wholesalers: food and grocery,rosemont,il,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/us-foods-holding/fortune500/
64,121,28720,8,4300,21,67092,87159.2,-13,79000,-13,mondelez international,"food, beverages & tobacco",food consumer products,chicago,il,no,yes,no,yes,no,no,no,yes,no,https://fortune.com/company/mondelez-international/fortune500/
65,115,29697.8,18.8,5116.2,85.3,44584.7,166304.1,,11300,,netflix,media,entertainment,los gatos,ca,no,no,no,yes,yes,no,yes,yes,no,https://fortune.com/company/netflix/fortune500/
66,113,29899,74.9,280,,72459,25322,65,83000,65,delta air lines,transportation,airlines,atlanta,ga,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/delta-air-lines/fortune500/
67,114,29882,72.4,-1993,,66467,11847.2,60,123400,60,american airlines group,transportation,airlines,fort worth,tx,yes,no,no,no,no,no,yes,no,no,https://fortune.com/company/american-airlines-group/fortune500/
68,110,31405,9.4,9109,13.1,41290,145614.7,-9,69600,-9,philip morris international,"food, beverages & tobacco",tobacco,new york,ny,no,yes,no,yes,no,no,no,yes,no,https://fortune.com/company/philip-morris-international/fortune500/
69,109,31614.2,28.1,395.1,-25.3,27666.4,9853.6,8,27000,8,td synnex,wholesalers,wholesalers: electronics and office equipment,fremont,ca,yes,no,no,yes,no,no,no,yes,no,https://fortune.com/company/synnex/fortune500/
70,112,30398.9,21.2,40.7,,7845.7,7880.9,2,22885,2,performance food group,wholesalers,wholesalers: food and grocery,richmond,va,yes,no,no,yes,no,no,yes,yes,no,https://fortune.com/company/performance-food-group/fortune500/
71,111,31337,53.9,73.7,-32.8,5942.4,1715.5,36,4414,36,world fuel services,energy,energy,miami,fl,yes,no,no,yes,no,no,yes,no,no,https://fortune.com/company/world-fuel-services/fortune500/
72,174,20092.1,-6.2,746.9,-15.9,21541.5,15598.9,-38,26889,-38,carmax,retailing,"automotive retailing, services",richmond,va,no,yes,no,yes,no,no,no,no,yes,https://fortune.com/company/carmax/fortune500/
73,108,32033,1.2,12390,356.5,432381,53260.4,-9,50767,-9,capital one financial,financials,commercial banks,mclean,va,no,yes,no,yes,yes,no,no,yes,yes,https://fortune.com/company/capital-one-financial/fortune500/
74,102,35355,9.9,5921,10,47072,84738.3,-6,95000,-6,3m,chemicals,chemicals,st. paul,mn,no,yes,no,yes,no,no,yes,yes,no,https://fortune.com/company/3m/fortune500/
75,103,34816,8.9,3662,35.8,120466,44129.4,-5,30492,-5,travelers,financials,insurance: property and casualty (stock),new york,ny,no,yes,no,yes,no,no,yes,yes,no,https://fortune.com/company/travelers-cos/fortune500/
76,104,34477,20.2,1108.2,89.6,19535.5,7951.3,-2,20700,-2,arrow electronics,wholesalers,wholesalers: electronics and office equipment,centennial,co,no,yes,no,yes,no,no,yes,yes,no,https://fortune.com/company/arrow-electronics/fortune500/
