company_id,name,city,country,longitude,latitude,revenue,revenue_exact,continent,industry_main,industries,companies_subsidiaries,companies_acquisitions,companies_similar,alexa_rank,monthly_visitors,social_networks,stock_exchange,technologies,technologies_categories,is_unicorn_company,total_employees,total_employees_exact,year_founded,description,description_short,domain,fortune_company_id,fortune_rank,fortune_revenues,fortune_revchange,fortune_profits,fortune_prftchange,fortune_assets,fortune_mktval,fortune_rankchange1000,fortune_employees,fortune_rankchange,fortune_sector,fortune_industry,fortune_hqcity,fortune_hqstate,fortune_rankgain,fortune_rankdrop,fortune_newcomer,fortune_profitable,fortune_ceofounder,fortune_ceowoman,fortune_jobgrowth,fortune1000-y-n,best-company-y-n,permalink
1,suomen vahinkovakuutus oy,Espoo,Finland,24.6603626,60.2241869,,,Europe,insurance,"forest-products, insurance, paper",,,"Health IQ, Facile.it, Quadient, American Family Insurance, AVID Technical Resources, Latter & Blum, Enuygun.com, Edina Realty, HealthMarkets, ASAPtickets, Hagerty, Berkshire Bank, Skyward, A Verizon company, Euler Hermes, La Capitale, VSP Vision Care, Long & Foster Companies, Pets Best Pet Insurance, Hexaware Technologies, William Raveis Real Estate, Mortgage & Insurance, MoneySuperMarket, Allen Tate, HAP, International Citizens Group, Nationwide",,under-10k,https://www.linkedin.com/company/suomen-vahinkovakuutus,,"google-analytics, google-tag-manager, microsot-365, mysql, php, wordpress, yoast-seo","application-development, aws-marketplace, calendar-and-scheduling, cloud-storage, collaboration, content-analytics, content-management, content-marketing, database, development, digital-analytics, email-service, it-infrastructure, marketing, marketplace-apps, mobile-analytics, mobile-app-analytics, mobile-development, office, productivity, programming-languages, relational-databases, seo, tag-management, video-conferencing, web-content-management",,50-200,,2011.0,"Suomen Vahinkovakuutus Oy on moderni suomalainen digivakuutusyhtiö, joka tuottaa räätälöityjä vakuutuspalveluja yhteistyökumppaneilleen ns. white label -periaatteella. Yhtiö on keskittynyt henkilöasiakkaiden vahinkovakuutuksiin, joita markkinoidaan henkilöasiakkaille POP Vakuutus ja Säästöpankin vakuutukset -brändeillä. Suomen Vahinkovakuutus Oy:n omistaa POP Pankki -ryhmä.","Suomen Vahinkovakuutus Oy on moderni suomalainen digivakuutusyhtiö, joka tuottaa räätälöityjä vakuutuspalveluja yhteistyökumppaneilleen ns.",suomenvahinkovakuutus.fi,,,,,,,,,,,,,,,,,,,,,,,,,
2,ey,London,United Kingdom,-0.1276474,51.5073219,1m-10m,,Europe,accounting,"accounting, advisory, analytics, assurance, audit, business-intelligence, finance, financial-services, information-technology, ma, mergers, professional-services, risk-management, services, tax, transaction-processing, transactions",,"Clerestory Consulting, CMA Strategy Consulting, EchoJunction, NorthPoint Digital, Plaut IT Australia, Citizen, Sonoma Partners, UMT Consulting Group","Accenture, Deloitte, Amazon, IBM, Tata Consultancy Services, Google, McKinsey & Company, Boston Consulting Group, PwC, KPMG, Lawhorn CPA Group, INNIMMO | M&A & Corporate Finance Advisory | Member of M&A Worldwide, PwC Sweden, BNY Mellon, EXL, WNS Global Services, Baker Tilly US, Linedata, Businessolver, Withum, Paro, Intelenet Global Services, Finicity, eServGlobal, ScaleFactor",3379.0,100m-500m,"http://angel.co/ernst-young-31, http://www.facebook.com/pages/ernst-young/195665063800329, https://www.linkedin.com/company/1073, http://twitter.com/eynews, https://youtube.com/ernstandyoungglobal",,"adobe-experience-manager, amazon-cloudfront, amazon-ecs, apache, apple-business-manager, google-analytics, java, microsoft-azure-cdn, twitter-widgets","application-development, application-server, cloud-file-storage, container-management, container-orchestration, containerization, content-analytics, content-delivery-network, content-experience-platforms, content-management, content-marketing, customer-communications-management, customer-service, development, devops, digital-analytics, digital-experience-platforms, digital-governance, enterprise-content-delivery-network, hosting, it-infrastructure, it-management, marketing, mobile-analytics, mobile-app-analytics, mobile-development, office-suites, programming-languages, social-media-marketing, team-collaboration, user-generated-content, web-content-management",,over-10k,336170.0,1989.0,"EY is a global leader in assurance, tax, transaction and advisory services. The insights and quality services we deliver help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. EY refers to the global organization and may refer to one or more of the member firms of Ernst & Young Global Limited, each of which is a separate legal entity. Ernst & Young Global Limited, a UK company limited by guarantee, does not provide services to clients. For more information about our organization, please visit ey.com. EY material on this page has been prepared for general informational purposes only and is not intended to be relied upon as accounting, tax, or other professional advice. Please refer to your advisors for specific advice.","EY is a global leader in assurance, tax, transaction and advisory services.",ey.com,,,,,,,,,,,,,,,,,,,,,,,,,
3,orange romania,Bucharest,Romania,26.1027202,44.4361414,200m-1b,,Europe,telecommunications,"communication-services, nec, telecommunications",,,"DigitalGlobe, Fight the New Drug, Politicnico di Torino, ALBtelecom Albania, Télécommunications de l'Est, SEAS-NVE, Rewards, Aginova, Zirtual, TDI, CHC Consulting, Beyond Wireless, Celular island, EuroGsm, Platinum Ink, Velaspan, Centratel, BUQU | Be Unique, Regional Access, Progressive Performance, tanfastic, Micso Wadsl, IQT consulting S., Digitale Medier 1881 AS, Capetti Elettronica Srl",,under-10k,"https://facebook.com/orangeromania, https://instagram.com/orangeromania, https://www.linkedin.com/company/25630, https://twitter.com/orangeromania, https://youtube.com/user/orangeromania",,"apache, apache-tomcat, cloudflare-cdn, firebase, google-tag-manager, java, nginx","application-development, application-development-platforms, application-server, container-networking, containerization, content-delivery-network, ddos-protection, development, devops, devsecops, digital-analytics, enterprise-content-delivery-network, hosting, it-infrastructure, load-balancing, marketing, mobile-development, mobile-development-platforms, programming-languages, security, tag-management, web-accelerator, web-application-firewalls, web-security, web-server-accelerator",,1k-5k,,,"Orange is the market leader in Romania with 10.177 million clients and revenues of € 947 million at 31st of December 2015. Orange Romania is part of Orange group, one of the world's leading telecommunications operators with over 262 million customers on five continents. Orange means much more than technology, mobile telephony or GSM networks. It is a brand created to make human communication simpler and to bring value to the communities where it operates. In March 2015, the Group presented its new strategic plan ""Essentials2020"" which places customers' needs at the heart of its strategy with the aim of allowing them to benefit fully from the digital universe and the power of its new generation networks. Orange Group has a well-defined corporate responsibility strategy, whereby we ensure that our work is carried out responsibly. Indeed corporate responsibility lies at the core of our brand's values, which in turn represent who we are and how we do business. If you want to build the Orange experience and join a great team, send us your CV by applying online at www.orange.ro/jobs.",Orange is the market leader in Romania with 10.,orange.ro,,,,,,,,,,,,,,,,,,,,,,,,,
4,jti - japan tobacco international,Geneva,Switzerland,6.1466014,46.2017559,100m-200m,,Europe,tobacco,"agricultural-operations, careers, consumer-electronics, consumer-goods, consumers, corporate-affairs, development, finance, fmcg, graduates, human-resources, international-mobility, interns, manufacturing, marketing, multinational, other-tobacco-products, regulatory-affairs, research, supply-chain, tobacco, training",Nakhla Tobac,,"Nestlé, Johnson & Johnson, The Coca-Cola Company, Philip Morris International, BAT, Unilever, Pepsi, Procter & Gamble Co/The, Mondelēz International, Türk Tuborg, ColorFrog, Foster Farms, Insight Recruitment Middle East, Sanderson Farms, Kenwood, AmericanCareerSearch, Conagra Brands, Kum & Go, Anheuser-Busch, McDonald's, City of Glasgow College, Morrisons, Restaurant Brands International, Asahi Beverages, Pin-Point Solutions",158883.0,500k-1m,"https://www.facebook.com/jticareers, https://www.linkedin.com/company/jti, https://www.twitter.com/jti_global",,"amazon-cloudfront, amazon-ecs, apache, cloudflare-cdn, drupal, facebook-social-plugins, google-analytics, google-maps, google-tag-manager, keycdn, microsoft-azure-cdn, nginx, php, twitter-widgets","application-development, application-server, aws-marketplace, container-management, container-networking, container-orchestration, containerization, content-analytics, content-delivery-network, content-management, content-marketing, ddos-protection, development, devops, devsecops, digital-analytics, enterprise-content-delivery-network, gis, hosting, ip-address-intelligence, it-infrastructure, load-balancing, marketing, marketplace-apps, mobile-analytics, mobile-app-analytics, mobile-development, office, programming-languages, security, social-media-marketing, tag-management, web-accelerator, web-application-firewalls, web-content-management, web-security, web-server-accelerator",,5k-10k,20630.0,1999.0,"JTI is a member of the Japan Tobacco Group of Companies. Headquartered in Geneva, Switzerland, JTI has over 26,000 employees across the world representing more than 100 nationalities. The company markets world-renowned brands in more than 120 countries and has 367 offices, 25 factories, 9 R&D centers and 5 tobacco processing facilities. With such a wide geographical and functional spread, we have opportunities in areas ranging from Global Supply Chain to General Administration, Sales to Product and Manufacturing. WORKING AT JTIWe're big enough to offer you a wide range of development opportunities, while our dynamic culture will give you the freedom to make a difference and create your own career path. Ongoing coaching and on-the-job training - provided by your line manager and facilitated by our HR team - will help you broaden your skills. You will also have the chance to meet people of different cultures and nationalities and gain exposure to international practices. JTI values enterprising minds. New ideas can come from anyone, anywhere, and everyone is encouraged to innovate and try new things. We listen to our employees; we run a Global Employee Engagement Survey to elicit the opinions of all our people on a regular basis. We act responsibly and keep our promises. And we reward our employees' efforts. At JTI, your talent is in good company.",JTI is a member of the Japan Tobacco Group of Companies.,jti.com,,,,,,,,,,,,,,,,,,,,,,,,,
5,xebia,Hilversum,Netherlands,5.173493602392345,52.23158695,10m-50m,,Europe,information-technology-and-services,"agile, agile-product-management, agile-software-development, agile-transformations, architecture, artificial-intelligence, auditing, audits, b2b, big-data, bigdata, blockchain, classroom-training, cloud, cloud-infrastructures, consulting, continuous-delivery, craftsmanship, data-science, deployment-automation, devops, digital-strategy, digital-transformation, enterprise-java-technology, enterprise-mobile-services, enterprise-software, full-stack-development, in-company-training, information-technology, it-consultancy, it-consulting, low-code, machine-learning, microsoft-solutions, offshore-services, quality, services, software, sre, test-automation, testing","Binx, coMakeIT, g-, GoDataDriven, oblivion cloud control, StackState, SwissQ, Xccelerated - proudly part of Xebia, Xpirit",,"Deloitte, Tata Consultancy Services, Wipro, GlobalLogic, Nagarro, coMakeIT, GoDataDriven, Pythian, Nerdery, Redwerk, Lightwell, SPEC INDIA, Icreon, Srijan Technologies, InfoSystems, MEV, Data Intensity, Atlantic BT, iwerk, SysMind, Resolute Technology Solutions, HotWax Systems, TESCHGlobal, machineLOGIC - Managed IT Services, Summa Technologies",417992.0,50k-100k,"http://angel.co/xebia, https://www.facebook.com/XebiaGroupWorldwide/, https://instagram.com/xebianl, https://www.linkedin.com/company/xebia, http://twitter.com/@Xebia, https://youtube.com/user/xebianl",,"amazon-cloudfront, amazon-s3, cloudflare-cdn, google-analytics, google-cloud, google-tag-manager, hotjar, hubspot, matomo, microsot-365, nginx, section-io","ai-sales-assistant, application-development, application-server, archive-storage, block-storage, business-card-scanning, business-scheduling, calendar-and-scheduling, cloud-file-storage, cloud-platform-as-a-service, cloud-storage, collaboration, container-management, container-networking, container-orchestration, container-registry, containerization, content-analytics, content-delivery-network, content-marketing, conversation-intelligence, conversion-rate-optimization, cpq, crm, ddos-protection, demand-generation, development, devops, devsecops, digital-analytics, email-service, email-tracking, enterprise-content-delivery-network, heatmap, hosting, hybrid-cloud-storage, it-infrastructure, it-management, lead-generation, load-balancing, marketing, mobile-analytics, mobile-app-analytics, mobile-development, object-storage, office, online-appointment-scheduling, outbound-call-tracking, productivity, quote-management, quote-to-cash, sales, sales-acceleration, sales-acceleration-platforms, sales-analytics, sales-enablement, sales-engagement, sales-intelligence, sales-performance-management, sales-platforms, security, session-replay, storage-management, tag-management, user-research, video-conferencing, virtual-private-cloud, virtual-waiting-room, visitor-identification, web-accelerator, web-application-firewalls, web-security, web-server-accelerator",,200-500,2550.0,2001.0,"Xebia explores and creates new frontiers in IT. We provide innovative products and services and strive to stay one step ahead of our customers' needs. We turn new technology trends into business advantages. As mainstream frontrunners, we create new IT solutions and build the future with our customers. Customers choose Xebia for our innovative solutions, technological depth, and craftsmanship. True knowledge workers find Xebia to be an inspiring place to work where they are challenged by peers. It's your business, we accelerate it. We are a group of highly ambitious craftsmen. From digital strategy to technology implementation. As such we are a one stop shop for full stack digital transformation. We provide innovative solutions and services to help your organization become a digital winner. We are organized in specialized centers of excellence all over the world. With like-minded individuals aiming for authority in their respective fields. Xebia Group consists of six specialized companies: Xebia Services, Xebia Academy, XebiaLabs, StackState, GoDataDriven and Xpirit.",Xebia explores and creates new frontiers in IT.,xebia.com,,,,,,,,,,,,,,,,,,,,,,,,,
6,google,San Francisco,United States,-122.419906,37.7790262,over-1b,,North America,health-wellness-and-fitness,"cloud-computing, computer-software, consumer-goods, consumer-tech, consumers, enterprise-software, enterprises, fitness, fitness-services, health, health-care, health-wellness, hospital, information-technology, internet, mobile, personal-health, services, wearables, wellness",,,"Google, Garmin, Strava, WHOOP, Headspace, Calm, Oura, Tonal, Numera, Spire, Biovotion, Skindroid, ColorFrog, Yummly, ArcTouch, Wiivv, NOCD, Senscio, Nuvo Group, Medopad, APiLINX - home of Appibuddy , your healthy lifestyle platform, Life Fitness, Harry's, UNYQ, Ava",9327.0,50m-100m,"http://angel.co/fitstar, http://www.facebook.com/pages/fitstar/299925083460007, https://instagram.com/fitbit_fr, https://www.linkedin.com/company/1132117, https://pinterest.com/fitbit, http://twitter.com/@fitstar, https://youtube.com/user/fitbitofficialsite",,"amazon-cloudfront, amazon-s3, cloudflare-cdn, criteo, google-analytics, google-cloud, google-tag-manager, java, jetty, microsoft-asp-net, microsoft-iis, nginx","advertiser-campaign-management, application-development, application-server, archive-storage, block-storage, cloud-file-storage, cloud-platform-as-a-service, container-management, container-networking, container-orchestration, container-registry, containerization, content-analytics, content-delivery-network, content-marketing, cross-channel-advertising, ddos-protection, demand-side-platform, development, devops, devsecops, digital-advertising, digital-analytics, display-advertising, enterprise-content-delivery-network, hosting, hybrid-cloud-storage, it-infrastructure, load-balancing, marketing, mobile-advertising, mobile-analytics, mobile-app-analytics, mobile-development, object-storage, other-digital-advertising, other-web-frameworks, programming-languages, retargeting, security, servers, social-media-advertising, storage-management, tag-management, virtual-private-cloud, web-accelerator, web-application-firewalls, web-frameworks, web-security, web-server-accelerator",,1k-5k,1220.0,2007.0,"We're a passionate team dedicated to health and fitness who are building products that help transform people's lives. While health can be serious business, we feel it doesn't have to be. We believe you're more likely to reach your goals if you're encouraged to have fun, smile, and feel empowered along the way.",We're a passionate team dedicated to health and fitness who are building products that help transform people's lives.,fitbit.com,,,,,,,,,,,,,,,,,,,,,,,,,
7,rvezy,Ottawa,Canada,-75.6900574,45.4211435,,,North America,leisure-travel-and-tourism,"camping, customer-service, leisure, motorhomes, peer-to-peer-sharing, rv-camping, rv-rental, safe, sharing-economy, tourism, trailers, travel",,,"Waytostay, City CoPilot, HouseCare ハウスケア 家事代行, Caribou Coffee, United Airlines, Hertz, Chick-fil-A, The Ritz-Carlton Hotel Company, Bozzuto, Circus Circus Reno, Hilton Grand Vacations, Tiff's Treats, Vistana Signature Experiences, TripActions, Egencia, Village Realty, The Rank Group, Holiday Inn Club Vacations, Travel Counsellors, American Express Global Business Travel, The Oceanaire, Rocky Mountaineer, Enterprise Holdings, Chef Works, Deer Valley Resort",69306.0,1m-10m,"https://facebook.com/rvezy, https://instagram.com/myrvezy, https://www.linkedin.com/company/rvezy.com, https://pinterest.com/ct.html, https://twitter.com/myrvezy",,"amazon-cloudfront, amazon-s3, cloudflare-cdn, ember-js, express-js, facebook-social-plugins, google-analytics, google-maps, google-tag-manager, google-workspace, hotjar, hubspot, matomo, microsoft-asp-net, microsoft-iis, mixpanel, node-js, nuxt-js, sentry, stripe, vue-js","ai-sales-assistant, application-development, application-performance-monitoring, application-server, archive-storage, bug-tracking, business-card-scanning, business-instant-messaging, business-scheduling, calendar, cloud-content-collaboration, commerce, content-analytics, content-delivery-network, content-management, content-marketing, conversation-intelligence, conversion-rate-optimization, cpq, crm, demand-generation, development, devops, digital-analytics, document-creation, e-commerce, e-commerce-analytics, email, email-tracking, enterprise-content-delivery-network, financial-data-apis, financial-services, game-development, gaming, gis, heatmap, hosting, idea-management, internal-communications, iot-development, iot-management, it-alerting, it-infrastructure, it-management, javascript-web-frameworks, lead-generation, log-monitoring, marketing, mobile-analytics, mobile-app-analytics, mobile-crash-reporting, mobile-development, monitoring, note-taking-management, object-storage, office, office-suites, online-appointment-scheduling, other-web-frameworks, outbound-call-tracking, payment, payment-gateways, presentation, product-analytics, quote-management, quote-to-cash, sales, sales-acceleration, sales-acceleration-platforms, sales-analytics, sales-enablement, sales-engagement, sales-intelligence, sales-performance-management, sales-platforms, screen-sharing, session-replay, social-media-marketing, spreadsheets, storage-management, survey, tag-management, team-collaboration, user-research, vertical-industry, video-conferencing, visitor-identification, web-frameworks, website-builder, website-monitoring",,1-10,,2016.0,"RVezy.com - Canada's Airbnb for RV's. Rent out your RV. Make money. Easy. ORRent amazing RV's to travel in Safely & Securely. RVezy is a peer to peer sharing marketplace bringing together private owners of RVs and aspiring vacationers across Canada. At RVezy we believe that everyone should have the opportunity to experience Canada the way it is supposed to be experienced at a reasonable price. At RVezy we are building a community of RV enthusiasts with a passion for the outdoors who are looking for an affordable RV rental experience. We feel that shared experiences and vacation travel provides the best opportunity to create family memories to last a lifetime. We are a Canadian-built and Canadian proud company that provides exceptional customer service. Any time you need to speak to one of our team members with a question, or to share your experience, send us an email at hello@RVezy.com or drop us a line at 1-855-MYRVEZY",RVezy.,rvezy.com,,,,,,,,,,,,,,,,,,,,,,,,,
8,worksafebc,Richmond,Canada,-123.137414,49.163168,200m-1b,,North America,insurance,"accounting, accounting-finance, business-process-improvement, communications, communications-marketing, customer-service, engineering, finance, fitness, health, health-care, healthcare, hospital, human-resources, information-technology, insurance, investigations, marketing, wellness",,,"City of Vancouver, Provincial Health Services Authority, Burnaby, FortisBC, ICBC, TransLink BC, BC Hydro, BC Public Service, WorkBC, WorkSafe Victoria, ALLARD Vegelien, SearchPros, Nielsen Associates, Randstad USA, Steelcase, Alliance Solutions Group, David Aplin Group, The Bachrach Group, ARG | AgentHR Recruiting Group, W3Global, Pathway Vet Alliance, SmartHire, Bond Street Group, Competitive Edge Recruiting, People4business",,under-10k,"https://www.facebook.com/worksafebc, https://instagram.com/worksafebc, https://www.linkedin.com/company/worksafebc, https://www.twitter.com/worksafebc, https://youtube.com/user/worksafebc",,"addthis, amazon-s3, apple-business-manager, cloudflare-cdn, crazy-egg, facebook-social-plugins, google-analytics, google-tag-manager, microsoft-azure, microsoft-iis, microsot-365, nginx","a-b-testing, application-development, application-server, archive-storage, block-storage, calendar-and-scheduling, cloud-file-storage, cloud-platform-as-a-service, cloud-storage, collaboration, container-management, container-networking, container-orchestration, container-registry, containerization, content-analytics, content-delivery-network, content-distribution, content-marketing, conversion-rate-optimization, ddos-protection, development, devops, devsecops, digital-analytics, email-service, enterprise-content-delivery-network, heatmap, hosting, hybrid-cloud-storage, it-infrastructure, load-balancing, marketing, mobile-analytics, mobile-app-analytics, mobile-development, object-storage, office-suites, productivity, security, session-replay, social-media-marketing, storage-management, tag-management, team-collaboration, video-conferencing, virtual-private-cloud, web-accelerator, web-application-firewalls, web-security, web-server-accelerator",,1k-5k,2120.0,1917.0,"At WorkSafeBC we are dedicated to promoting safe and healthy workplaces across B. C. We partner with workers and employers to save lives and prevent injury, disease, and disability. When work-related injuries or diseases occur, we provide compensation, and we support injured workers in their recovery, rehabilitation, and safe return to work. We also work diligently to sustain our workers compensation system for today and future generations. We're honoured to serve the almost 2.3 million workers and 210,000 employers in our province.",At WorkSafeBC we are dedicated to promoting safe and healthy workplaces across B.,worksafebc.com,,,,,,,,,,,,,,,,,,,,,,,,,
9,bairesdev,Campbell,United States,-121.9448818,37.2870626,50m-100m,,North America,information-technology-and-services,"big-data, computer-programming, computer-software, data-processing, digital-acceleration, digital-transformation, enterprise-software, enterprises, information-services, information-technology, internet, it-consulting, it-services, latin-america, managed-teams, manpower, mobile, nearshore-software-development, offshore-development, outsourcing, product-development, services, software, software-development, software-engineering, software-outsourcing, staff-augmentation, staffing, top-talent",,,"IBM, Google, Toptal, Mercado Libre, FullStack Labs, Crossover, Sh*t You Don't Learn In College, JMS Technical Solutions, MSys, SYNVERSE, FarShore Partners, Consulente, Cprime, Daxx, Good&, Big Cloud, Rotageek - Reinventing Scheduling, RA Infotech, Careerify (Acquired by LinkedIn), Reflik, Recruiting SportsNet, Geeklist, RCG Infosoft, Perficient, Zebra Technologies",33909.0,10m-50m,"http://angel.co/bairesdev, https://www.facebook.com/BairesDev/, https://instagram.com/bairesdev, https://www.linkedin.com/company/bairesdev, https://twitter.com/bairesdev, https://youtube.com/bairesdevsolutions",,"amazon-s3, apache, cloudflare-cdn, elementor, facebook-social-plugins, google-analytics, google-tag-manager, google-workspace, hotjar, mysql, nginx, php, section-io, wordpress","application-development, application-server, archive-storage, aws-marketplace, business-instant-messaging, calendar, cloud-content-collaboration, container-networking, containerization, content-analytics, content-delivery-network, content-management, content-marketing, conversion-rate-optimization, database, ddos-protection, development, devops, devsecops, digital-analytics, document-creation, email, enterprise-content-delivery-network, heatmap, hosting, idea-management, internal-communications, it-infrastructure, it-management, load-balancing, marketing, marketplace-apps, mobile-analytics, mobile-app-analytics, mobile-development, note-taking-management, object-storage, office, office-suites, pop-up-builder, presentation, programming-languages, relational-databases, screen-sharing, security, session-replay, social-media-marketing, spreadsheets, storage-management, survey, tag-management, team-collaboration, user-research, video-conferencing, virtual-waiting-room, web-accelerator, web-application-firewalls, web-content-management, web-security, web-server-accelerator, website-builder",,200-500,3550.0,2009.0,"BairesDev is a technology services company that employs the Top 1% Talent and specializes in Software Development, Software Outsourcing, Testing, Maintenance & IT Staff Augmentation solutions. Headquartered in San Francisco (CA), BairesDev offers a cost-effective blended model making use of its Development Centers in Latin America. Having executed more than 850 projects and receiving more than 45,000 new job applicants per year, BairesDev employs only the Top 1% talent of the IT market to build comprehensive and innovative products for its clients. Companies like Google, Panasonic, and Sirius XM along with many successful startups trust BairesDev to help them create and maintain their products and expand their Software Engineering teams. Some of BairesDev services include: - Nearshore Software Development- Onsite Software Development- Staff Augmentation Services- Quality Engineering- Software Testing- Infrastructure Management- Cloud Management - Business Intelligence / Big Data consulting- Mobile Product Development- Enterprise Software Maintenance and Implementation- UI / UX Design- Video Games Development","BairesDev is a technology services company that employs the Top 1% Talent and specializes in Software Development, Software Outsourcing, Testing, Maintenance & IT Staff Augmentation solutions.",bairesdev.com,,,,,,,,,,,,,,,,,,,,,,,,,
10,netbase quid,Santa Clara,United States,-121.955174,37.3541132,,,North America,computer-software,"brand-analysis, campaign-tracking, category-analysis, competitive-intelligence, competitive-intelligence-software, computer-software, consumer-insight, customer-care, customer-journey-analytics-software, dci, enterprise-social-intel, influencer-insight, media-monitoring-software, natural-language-processing, partner-monitoring, product-innovation, product-launch, purchase-intent, risk-management, social-media-analytics, social-media-analytics-software, social-media-monitoring-software, social-media-suites, software, technology-scouting-software",,Quid,"Meltwater, YouTube, Quid, Brandwatch, Talkwalker, Sprinklr, Hootsuite, Rival IQ, Primer.ai, NetBase Technologies, Edelman, Socialbakers, Vocus, M&C Saatchi Group, Sales & Marketing Technologies, Traackr, Stryde, Tech Image, Practice Builders, Union Metrics, Matrix Marketing Group, Gozoop Online, Chew, Chatter Buzz, PressPage",37862.0,10m-50m,"https://facebook.com/netbaseinc, https://instagram.com/netbasequid, https://www.linkedin.com/company/netbasequid, https://twitter.com/netbasequid, https://youtube.com/c/netbasequid",,"google-analytics, google-tag-manager, microsot-365, mysql, nginx, php, salesforce-account-engagement, statcounter, wordpress, wp-engine","application-development, application-server, attribution, aws-marketplace, calendar-and-scheduling, cloud-storage, collaboration, container-networking, containerization, content-analytics, content-management, content-marketing, conversion-rate-optimization, database, ddos-protection, development, devops, devsecops, digital-analytics, email-service, hosting, it-infrastructure, landing-page-builders, load-balancing, managed-hosting-providers, marketing, marketing-analytics, marketing-automation, marketplace-apps, mobile-analytics, mobile-app-analytics, mobile-development, office, productivity, programming-languages, relational-databases, security, tag-management, video-conferencing, web-accelerator, web-application-firewalls, web-content-management, web-hosting-providers, web-security, web-server-accelerator",,200-500,280.0,2004.0,"NetBase Quid delivers AI-powered consumer and market intelligence to enable business reinvention in a noisy and unpredictable world. Our platform uses advanced artificial intelligence to process billions of indexed resources across all forms of structured and unstructured data, empowering brand, agency, and consulting services customers to make smart, data-driven decisions accurately, quickly, and efficiently. NetBase Quid is the trusted partner of Coca-Cola, Ogilvy, T-Mobile, United Airlines, YUM! Brands, Walmart, Hyundai, Wunderman Thompson, Microsoft, BCG, and The New York Times. Learn more at",NetBase Quid delivers AI-powered consumer and market intelligence to enable business reinvention in a noisy and unpredictable world.,netbasequid.com,,,,,,,,,,,,,,,,,,,,,,,,,
